movie_name,movie_type,total,price_average,session_average,origin,time
赤壁(上),战争,27490,33,41,中国/中国香港/韩国,2008-07-10
画皮,爱情,20453,30,41,中国/中国香港/新加坡,2008-09-26
非诚勿扰,爱情,17641,34,62,中国/中国香港,2008-12-18
功夫熊猫,动画,15150,27,36,美国,2008-06-20
功夫熊猫：师傅的秘密,动画,15150,27,36,美国,
功夫之王,动作,14560,32,31,美国/中国,2008-04-24
007：大破量子危机,动作/惊悚,12046,31,29,英国/美国,2008-11-05
木乃伊3：龙帝之墓,惊悚,11000,31,27,德国/加拿大/美国/中国,2008-09-02
梅兰芳,剧情,9739,33,36,中国/中国香港,2008-12-04
大灌篮,爱情,9578,29,30,中国香港/中国台湾/中国,2008-02-08
全民超人汉考克,动作/喜剧,9227,28,31,美国,2008-07-02
钢铁侠,动作,7712,30,26,美国,2008-04-30
通缉令,惊悚/动作,7600,29,26,美国/德国,2008-10-09
国家宝藏：夺宝秘笈,惊悚,7300,31,25,美国,2008-03-17
史前一万年,科幻,7220,29,26,美国/新西兰,2008-03-21
集结号,战争/剧情,7207,30,25,中国香港/中国/韩国,2007-12-20
纳尼亚传奇2：凯斯宾王子,魔幻,6631,29,27,英国/美国,2008-06-06
叶问,动作,6517,30,44,中国香港/中国,2008-12-12
尼斯湖怪·深水传说,惊悚,6280,27,29,美国/英国,2008-02-17
地心历险记,科幻,6025,48,48,美国,2008-09-28
三国之见龙卸甲,战争,6015,29,25,中国/韩国/中国香港,2008-04-03
无敌浩克,科幻/惊悚,5389,28,21,美国,2008-08-20
十全九美,喜剧,4474,24,27,中国,2008-08-01
保持通话,惊悚,3905,27,24,中国/中国香港,2008-09-27
江山美人,动作,3832,28,19,中国香港/中国,2008-03-07
2012世界末日,灾难,44745,32,68,美国,2009-11-13
变形金刚2,科幻/动作,40364,32,53,美国,2009-06-24
建国大业,剧情,39288,32,54,中国/中国香港,2009-09-16
赤壁(下),战争,24353,34,49,中国/中国香港,2009-01-07
三枪拍案惊奇,喜剧,22011,33,49,中国,2009-12-10
十月围城,动作,21362,34,61,中国/中国香港,2009-12-17
风声,惊悚,20510,33,40,中国/中国香港,2009-09-29
南京！南京！,战争,15976,30,39,中国/中国香港,2009-04-22
哈利·波特与混血王子,魔幻/动作,15524,31,46,英国/美国,2009-07-15
冰川时代3,动画,15049,44,61,美国,2009-07-08
特种部队：眼镜蛇的崛起,动作,12692,30,39,美国,2009-08-07
