salary,companySize,district,work_year,company_name,position_name,positionAdvantage
40k-50k,50-150人,朝阳区,5-10年,北京五八到家信息技术有限公司,python工程师,"平台大,氛围好,不打卡,下午茶"
20k-30k,150-500人,海淀区,5-10年,北京点石经纬科技有限公司,高级python工程师,"机会多多,平台好,领导好"
25k-35k,500-2000人,朝阳区,3-5年,掌阅科技股份有限公司,高级Python研发工程师,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
20k-40k,15-50人,东城区,1-3年,北京智水互娱科技有限公司,Python开发工程师,"海外,高薪"
30k-40k,2000人以上,朝阳区,5-10年,国美金控投资有限公司,python研发工程师,"大平台,新项目,领导卓越"
25k-40k,2000人以上,海淀区,1-3年,北京字节跳动科技有限公司,Python开发工程师-变现业务,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资
20k-30k,15-50人,朝阳区,3-5年,北京汇游科技有限公司,中高级Python开发工程师,"五险一金,全勤奖,餐补,年终奖金"
20k-35k,15-50人,朝阳区,1-3年,北京天桐互动信息技术有限公司,高级Python工程师,"期权激励,扁平化管理,五险一金,年底双薪"
17k-27k,15-50人,海淀区,3-5年,北京云杉智达科技有限公司,技术总监（Python）,五险一金、晋升空间、绩效奖金
20k-40k,150-500人,朝阳区,3-5年,北京果壳互动科技传媒有限公司,高级Python开发工程师,"八险一金,免费三餐,不加班,弹性工作"
15k-30k,50-150人,朝阳区,1-3年,北京新工场投资顾问有限公司,高级python开发工程师,互联网金融 无天花板 六险一金 期权激励
15k-25k,500-2000人,朝阳区,3-5年,掌阅科技股份有限公司,Python研发工程师（中高级）,"管理扁平化,发展机会佳,薪资待遇好"
20k-40k,500-2000人,海淀区,3-5年,北京国双科技有限公司,资深Python研发工程师,"上市公司,六险一金,发挥空间,团队氛围"
15k-30k,50-150人,朝阳区,3-5年,北京自造星球科技有限公司,高级Python研发工程师,"区块链,高成长"
30k-60k,150-500人,朝阳区,3-5年,北京右划网络科技有限公司,高级python开发工程师,"短视频,大牛云集,工程师文化,一年15薪"
20k-30k,50-150人,海淀区,3-5年,北京源清慧虹信息科技有限公司,高级python研发工程师,"二次医疗,健身场所,福利补助"
15k-30k,150-500人,海淀区,3-5年,会找房（北京）网络技术有限公司,Python开发工程师(J10100),"五险一金,十四薪,弹性工作"
25k-50k,500-2000人,海淀区,3-5年,北京旷视科技有限公司,高级Python开发工程师,大牛多
14k-20k,15-50人,海淀区,1-3年,北京深海巨鲸信息科技有限公司,资深Python 工程师,"五险一金,员工福利,餐补,双休"
15k-25k,50-150人,朝阳区,5-10年,乐飞天下信息技术(北京)有限公司,中级python开发工程师,五险一金员工旅游年底奖金餐补
18k-36k,150-500人,海淀区,5-10年,达而观信息科技（上海）有限公司,Python高级开发工程师,"团队技术强,发展空间大,人工智能"
20k-40k,150-500人,朝阳区,3-5年,北京一览科技有限公司,python开发工程师,福利优厚
15k-25k,50-150人,朝阳区,3-5年,超对称（北京）科技有限公司,Python高级工程师,"好老板,五险一金,带薪年假"
25k-50k,500-2000人,海淀区,5-10年,中国电信股份有限公司云计算分公司,python开发工程师（资深）,云计算
25k-45k,50-150人,海淀区,3-5年,北京智分科技有限公司,高级Python开发工程师,"Geek范,清华系,福利待遇好,股票期权"
30k-60k,2000人以上,海淀区,3-5年,北京字节跳动科技有限公司,高级python工程师,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资
25k-35k,150-500人,朝阳区,5-10年,图玛深维医疗科技（北京）有限公司,高级python工程师,超长带薪年假 五险一金 地铁周边
20k-40k,2000人以上,海淀区,1-3年,北京字节跳动科技有限公司,高级python研发工程师,"六险一金,高薪期权,弹性工作,租房补贴"
12k-24k,500-2000人,朝阳区,应届毕业生,北京陌陌科技有限公司,Java/Python开发工程师（19届）,"每日下午茶,舒适的环境,可爱的伙伴"
30k-60k,15-50人,朝阳区,3-5年,上海福萝电子科技有限公司,"Python, nodejs，golang工程师","股权激励,成长空间,大牛团队,良好环境"
15k-25k,50-150人,海淀区,1-3年,深圳码隆科技有限公司,python工程师(北京),发展前景广阔
20k-40k,50-150人,朝阳区,3-5年,克鲁（北京）网络科技有限公司,Python后端开发工程师,"大牛云集,硅谷文化,免费三餐,租房补贴"
20k-40k,150-500人,朝阳区,5-10年,北京信链科技有限公司,python开发工程师,纯互联网企业，技术强悍，氛围超nice
12k-24k,150-500人,海淀区,1-3年,北京点石经纬科技有限公司,python服务开发工程师,"领导nic,大平台"
25k-40k,15-50人,海淀区,5-10年,北京聚道科技有限公司,Python后端工程师,"五险一金,免费午餐,团队融洽,技术超前"
20k-30k,15-50人,东城区,不限,北京智合大方科技有限公司,python后端开发工程师,福利待遇
25k-30k,15-50人,朝阳区,3-5年,北京智能优学科技有限公司,Python高级开发工程师,"五险一金,技术大牛,团队出游,部门聚餐"
15k-18k,500-2000人,朝阳区,5-10年,北京泛鹏天地科技股份有限公司,python高级工程师,云产品研发
